A,B,Label
角,等腰三角形,0
角,勾股定理,0
笛卡尔坐标系,直线,1
多边形,线段,1
角,二维空间,0
点,二维空间,0
坡度,几何学,1
四边形,平行,0
垂直,圆锥,0
角,共线 (几何),0
中点,曲线,0
边 (几何),等腰三角形,0
边 (几何),内角和外角,0
矩形,直角三角形,0
顶点 (几何),勾股定理,0
同心 (几何),几何学,1
圆,截面 (几何),0
平行四边形,圆周,0
勾股定理,勾股数,0
相似 (几何),球面,0
特殊直角三角形,直角,1
四边形,内角和外角,0
勾股数,勾股定理,1
圆,几何学,1
点,四边形,0
勾股数,直角三角形,1
半径,正弦,0
线段,勾股数,0
直线,直径,0
四边形,共线 (几何),0
二维空间,九边形,0
圆,顶点 (几何),0
二维空间,平面 (数学),1
十二边形,角,1
顶点 (几何),七边形,0
弦 (几何),角,0
对称,平行四边形,0
圆柱体,垂直,0
坐标系,几何学,1
多边形,八边形,0
垂直,坐标系,0
点,星形多边形,0
直线,棱锥,0
边 (几何),直角三角形,0
平行四边形,角,1
点,六边形,0
十二边形,多面体,0
鹞形,角,1
圆周,曲线,0
直线,凸多边形,0
凸多边形,几何学,1
平行,垂直,0
线段,顶点 (几何),0
比例系数,缩放,0
线段,十二边形,0
菱形,垂直,0
五边形,边 (几何),1
垂直,角,1
平行,角,0
垂直,二维空间,0
矩形,点,1
直径,半径,1
中点,平面 (数学),0
菱形,边 (几何),1
顶点 (几何),九边形,0
切线,正弦,0
直角三角形,多边形,1
点,割线,0
镜面反射 (数学),直线,1
线段,五边形,0
平行,异面直线,0
四边形,三角不等式,0
直线,平面 (数学),0
弦 (几何),勾股定理,0
菱形,平行四边形,1
三角函数,直线,1
平行四边形,凸多边形,0
弧长,距离,1
圆,直径,0
菱形,顶点 (几何),1
边 (几何),三角函数,0
几何学,星形多边形,0
直角,几何学,1
正弦,三角函数,1
边 (几何),十一边形,0
多边形,直角三角形,0
圆,正弦,0
直线,鹞形,0
反三角函数,线段,1
正三角形,角,1
中点,点,1
弦 (几何),正弦,0
直线,镜面反射 (数学),0
七边形,半径,0
共线 (几何),圆锥,0
梯形,几何学,1
线段,共线 (几何),0
圆,二维空间,0
多面体,几何学,1
多面体,点,1
角,反射 (数学),0
截面 (几何),几何学,1
三角形,弧长,0
多边形,四边形,0
平移,距离,0
直线,棱柱,0
正三角形,几何学,1
多边形,矩形,0
八边形,线段,1
几何学,圆柱体,0
垂直,梯形,0
对称,平移,0
点,角平分线定理,0
三角不等式,弧长,0
顶点 (几何),多边形,0
直径,线段,1
直线,割线,0
圆周,多边形,0
多面体,直线,1
圆柱体,切线,0
几何学,十边形,0
多边形,十一边形,0
角,距离,0
几何学,正方形,0
十边形,边 (几何),1
旋转,距离,0
顶点 (几何),星形多边形,0
直线,角,0
自相似,相似 (几何),1
菱形,正方形,0
边 (几何),直线,1
镜面反射 (数学),反射 (数学),1
勾股定理,弧长,0
几何学,棱柱,0
三角函数,弦 (几何),0
圆柱体,半径,0
反三角函数,切线,0
几何学,对称,0
角平分线定理,点,1
星形多边形,顶点 (几何),1
凸多边形,点,1
点,半径,0
圆柱体,多面体,0
勾股数,直线,1
平行,切线,0
线段,曲线,0
镜面反射 (数学),几何学,1
多边形,菱形,0
点,等腰三角形,0
直线,梯形,0
菱形,正弦,0
直线,勾股数,0
笛卡尔坐标系,二维空间,1
特殊直角三角形,线段,1
顶点 (几何),棱锥,0
几何学,中点,0
特殊直角三角形,圆,0
五边形,点,1
直角三角形,等腰三角形,0
勾股数,多边形,1
角平分线定理,几何学,1
圆,斜率,0
几何学,相似 (几何),0
点,中点,0
直线,十边形,0
点,弧长,0
角,垂直,0
九边形,线段,1
反射 (数学),圆,0
垂直,顶点 (几何),0
顶点 (几何),矩形,0
正方形,梯形,0
菱形,鹞形,0
反三角函数,几何学,1
垂直,内角和外角,0
四边形,镜面反射 (数学),0
相似 (几何),多边形,0
顶点 (几何),棱柱,0
点,几何学,1
菱形,三角形,0
圆,内角和外角,0
等腰三角形,几何学,1
勾股数,角,1
多面体,对角线,0
镜面反射 (数学),点,1
平行四边形,矩形,0
面 (几何),平面 (数学),0
平行四边形,线段,1
共线 (几何),中点,0
直角三角形,直径,0
圆周,距离,0
曲线,直径,0
菱形,几何学,1
笛卡尔坐标系,角,1
平行,圆,0
垂直,弦 (几何),0
切线,等腰三角形,0
正三角形,直线,1
梯形,直线,1
直线,矩形,0
几何学,五边形,0
直角,矩形,0
矩形,平移,0
相似 (几何),圆,0
全等,顶点 (几何),1
直角,三角形,0
点,十边形,0
直线,角平分线定理,0
外角定理,中点,0
正方形,对称,0
垂直,角平分线定理,0
对称,几何学,1
