A,B,Label
微分方程,数,1
渐近线,直线,1
笛卡尔坐标系,直线,1
部分分式分解,算术,1
对数,自然对数,0
平方根,幂,0
多边形,线段,1
方程,一元二次方程,0
二项式定理,加法,1
结合律,复数 (数学),0
指数增长,指数函数,1
数学归纳法,数学证明,1
二次方程,实数,0
连续函数,数学,1
渐近线,数学,1
扇形,几何学,1
数学,垂线测试,0
整数,部分分式分解,0
因式分解,部分分式分解,0
实数,不等,0
算术,数学,1
加法,圆,0
自变量和因变量,函数,1
方程,勾股定理,0
直线,割线,0
代数,数,1
正弦曲线,数学,1
圆,几何学,1
分段,反函数,0
乘法,常用对数,0
空和,算术,1
数,空和,0
一次方程,方程,1
综合除法,多项式除法,1
不等,数学,1
算术,因式分解,0
函数,指数增长,0
代数式,分配律,0
平方,代数式,0
不等,相等,1
有理数,方根,0
参数方程,方程,1
质数,根 (数学),0
齐次多项式,加法,1
函数极限,函数,1
正弦定理,线段,1
子式和余子式,方块矩阵,1
坐标系,几何学,1
数,象限角,0
正弦,数学,1
周期函数,简谐运动,0
算术,减法,0
结合律,乘法,0
极限 (数列),数学,1
焦点 (几何),圆,0
幂,算术,1
垂直,坐标系,0
函数,周期函数,0
二次方程,算术,1
加法,有理数,0
幂,一元二次方程,0
割线,渐近线,0
多项式除法,乘法,1
正弦定理,正弦,1
加法,负数,0
常数函数,奇函数与偶函数,0
集合 (数学),数,0
除法,部分分式分解,0
几何学,扇形,0
一次方程,一元二次方程,0
乘法,有理数,0
直线,半径,0
一次方程,数学,1
定向 (几何),数学,1
数学,连续函数,0
对数,斜率,0
垂直,角,1
代数,数学,1
科学记数法,实数,0
数学,多边形,0
取整函数,除法,0
直角三角形,多边形,1
数学,正弦曲线,0
二项式系数,乘法,1
正弦,正弦定理,0
倒数,乘法,1
标量乘法,标量 (数学),1
多项式,圆,0
函数,方根,0
加法,交换律,0
除法,乘法,0
加法,以2为底的对数,0
算术,代数式,0
圆锥曲线,数学,1
算术,齐次多项式,0
三角函数,反三角函数,0
算术,幂,0
坐标系,复数 (数学),0
割线,曲线,1
直角,几何学,1
单位圆,方根,0
多边形,正弦定理,0
三角矩阵,数学,1
力,数学,0
多边形,直角三角形,0
函数,像 (数学),0
解析几何,笛卡尔坐标系,1
一元二次方程,二次方程,0
并集,空集,0
倒数,数学,1
复数 (数学),根 (数学),0
线性方程组,数学,1
向量空间,标量 (数学),0
自然对数,算术,1
直角三角形,直线,1
一次方程,笛卡尔坐标系,0
幂,倒数,0
数学,常用对数,0
对数,数学,1
离心率,直线,1
几何学,线性方程组,0
方程,相等,1
结合律,交换律,0
指数增长,数,1
齐次多项式,数学,1
单位圆,整数,0
几何学,圆柱体,0
几何学,极坐标系,0
负数,除法,0
主对角线,初等矩阵,0
单射,函数,1
数,标量乘法,0
几何学,点,0
幂,实数,0
整数,倒数,0
几何学,勾股定理,0
算术,除法,0
数学,分体论 (逻辑学),0
奇偶性 (数学),奇函数与偶函数,0
集合 (数学),实数,0
数学,叉积,0
幂,虚数,0
级数,微积分学,1
直线,椭圆,0
空和,加法,1
点积,算术,1
方程,二次方程,0
代数式,平方根,1
二次方程,多项式,1
原点,几何学,1
并集,自然数,0
乘法,函数,0
加法,多项式除法,0
加法,数学,1
数学,代数方程,0
矩阵,三角矩阵,0
对数,数,1
圆,解析几何,0
多项式,数,1
指数函数,数学,1
全距,函数图形,0
实数,方根,0
奇函数与偶函数,数学,1
三角学,几何学,1
数,整数,0
点,半径,0
二次方程,方程,1
焦点 (几何),椭圆,0
多项式,函数,0
坐标系,实数,0
线性方程组,相等,1
数学,反三角函数,0
平面曲线,几何学,1
复合函数,奇函数与偶函数,0
数学,空和,0
结合律,函数,0
标量 (数学),向量空间,1
圆,一元二次方程,0
部分分式分解,乘法,1
函数,方程求解,0
全称量化,存在量化,0
平方根,集合 (数学),0
加法,乘法,0
算术,常用对数,0
矩形,数学,1
垂直,焦点 (几何),0
三角矩阵,矩阵,1
幂,代数式,0
反三角函数,三角学,1
整数,二项式系数,0
开集,实数,0
割线,斜率,0
数,二次方程,0
三角函数,三角换元法,0
单位圆,复数 (数学),0
正弦定理,垂直,0
对数,E (数学常数),0
数学,方程组,0
圆柱体,数学,1
交换律,减法,0
行列式,子式和余子式,0
反三角函数,几何学,1
数,幂,0
割线,导数,0
一次方程,几何学,1
振幅,正弦曲线,0
点,几何学,1
多项式,数学,1
笛卡儿符号法则,加法,1
标量乘法,数,1
区间,实数,0
常用对数,数学,1
曲线,圆锥,0
自然对数,不等,0
加法,数,1
正弦定理,点,1
以2为底的对数,数,1
幂,代数基本定理,0
垂直,平行,0
向量,几何学,0
相等,线性方程组,0
方块矩阵,初等矩阵,0
数,矩阵乘法,0
平方根,代数式,0
函数极限,微积分学,1
对数,科学记数法,0
力,功,0
笛卡尔坐标系,角,1
数学,复平面,0
数学,角,0
行列式,主对角线,0
加法,求和符号,0
几何学,三角学,0
矩阵,向量场,0
方程,参数方程,0
复数 (数学),数,1
