A,B,Label
DBSCAN,算术平均数,1
OPTICS,算术平均数,1
信赖区间,联合分布,0
先验概率,条件概率,0
提升方法,数据挖掘,0
朴素贝叶斯分类器,标准差,1
前馈神经网络,梯度下降法,0
信赖区间,显著性差异,0
四分位距,中位数,1
贝氏网路,机率密度函数,1
灵敏度和特异度,测量精度,0
反向传播算法,前馈神经网络,0
随机森林,提升方法,0
K-平均算法,机器学习,1
突变 (遗传演算法),自然选择,1
聚类分析,信息检索,0
支持向量机,机率密度函数,1
梯度下降法,极值,1
条件概率,贝氏网路,0
统计分类,人工神经网络,0
标准差,F-score,0
AdaBoost,联合分布,1
假说检定,型一错误与型二错误,0
算术平均数,聚类分析,0
混淆矩阵,灵敏度和特异度,0
灵敏度和特异度,统计分类,1
F-score,样本,1
随机森林,标准差,0
贝氏网路,先验概率,1
统计分类,朴素贝叶斯分类器,0
DBSCAN,聚类分析,1
随机森林,决策树学习,1
机器学习,贝氏网路,0
条件概率,朴素贝叶斯分类器,0
混合模型,贝氏网路,0
聚类分析,模糊聚类,0
似然函数,信赖区间,0
假说检定,数据挖掘,0
DBSCAN,数据分析,1
决策树,统计分类,1
随机森林,自助法,1
贝氏网路,似然函数,1
回归分析,最小二乘法,0
数据挖掘,回归分析,1
条件概率分布,朴素贝叶斯分类器,0
朴素贝叶斯分类器,数据挖掘,0
决策树学习,机率密度函数,1
信赖区间,样本,1
假说检定,样本,1
朴素贝叶斯分类器,条件独立,1
反向传播算法,集成学习,0
反向传播算法,机器学习,1
联合分布,条件概率分布,0
机率密度函数,朴素贝叶斯分类器,0
主成分分析,算术平均数,1
网络搜索引擎,数据挖掘,0
假说检定,贝叶斯定理,0
假说检定,总体,1
显著性差异,信赖区间,1
数据分析,混合模型,0
先验概率,贝氏网路,0
关联规则学习,条件概率,1
决策树,关联规则学习,0
随机森林,专家系统,0
回归分析,线性回归,0
司徒顿t检定,信赖区间,1
提升方法,支持向量机,0
信噪比,标准差,0
机率密度函数,反向传播算法,0
算术平均数,主成分分析,0
主成分分析,信噪比,0
假说检定,显著性差异,0
抽样,总体,1
决策树学习,统计分类,1
朴素贝叶斯分类器,直方图,0
决策树,决策树剪枝,0
集成学习,AdaBoost,0
信赖区间,司徒顿t检定,0
聚类分析,人工神经网络,0
混合模型,聚类分析,1
显著性差异,测量精度,0
伪阳性和伪阴性,灵敏度和特异度,0
提升方法,机器学习,1
异常检测,关联规则学习,0
支持向量机,统计分类,1
聚类分析,数据分析,1
机率密度函数,混合模型,0
朴素贝叶斯分类器,支持向量机,0
最大似然估计,朴素贝叶斯分类器,0
主成分分析,人工神经网络,0
支持向量机,多元分类,0
K-平均算法,数据挖掘,0
四分位距,离散程度,1
型一错误与型二错误,虚无假说,1
自然选择,突变 (遗传演算法),0
统计分类,决策树学习,0
先验算法,关联规则学习,1
贝氏网路,条件概率分布,1
人工神经网络,先验概率,0
条件概率,先验算法,0
联合分布,条件概率,0
数据分析,数据挖掘,0
数据挖掘,假说检定,1
异常检测,统计分类,0
标准差,型一错误与型二错误,0
决策树学习,决策树剪枝,0
统计分类,决策树,0
贝氏网路,朴素贝叶斯分类器,0
OPTICS,标准差,1
贝叶斯定理,数据挖掘,0
K-平均算法,数据分析,1
总体,样本,0
随机森林,Bagging算法,1
总体,抽样,0
机率密度函数,贝氏网路,0
K-平均算法,算术平均数,1
聚类分析,DBSCAN,0
集中趋势,算术平均数,1
主成分分析,聚类分析,0
支持向量机,机器学习,1
中位数,测量尺度,0
假说检定,虚无假说,1
似然函数,泊松回归,0
相关,数据挖掘,0
似然函数,最大期望算法,0
后验概率,统计分类,0
自然选择,遗传算法,0
ROC曲线,统计分类,1
相关,朴素贝叶斯分类器,0
决策树剪枝,决策树学习,1
混合模型,朴素贝叶斯分类器,0
多元分类,统计分类,1
决策树剪枝,机器学习,1
型一错误与型二错误,信赖区间,1
DBSCAN,相关,1
机器学习,朴素贝叶斯分类器,0
总体,信赖区间,0
假说检定,模型选择,0
模糊聚类,数据分析,1
混合模型,最大似然估计,0
混合模型,相关,1
最大似然估计,混合模型,0
条件概率,条件独立,0
专家系统,知识库,0
似然函数,条件概率分布,1
OPTICS,相关,1
决策树学习,Bagging算法,0
相关,算术平均数,1
OPTICS,异常检测,0
条件概率分布,条件概率,1
机器学习,反向传播算法,0
聚类分析,异常检测,0
四分位数,四分位距,0
似然函数,标准差,0
机率密度函数,最大期望算法,0
聚类分析,数据挖掘,0
混合模型,算术平均数,1
标准差,测量尺度,0
假说检定,标准差,1
信赖区间,数据挖掘,0
查询语言,数据挖掘,0
极值,梯度下降法,0
数据分析,OPTICS,0
反向传播算法,人工神经网络,1
相关,标准差,1
贝氏网路,条件概率,1
显著性差异,总体,1
联合分布,反向传播算法,0
提升方法,交叉验证,0
前馈神经网络,概率模型,0
司徒顿t检定,样本,1
关联规则学习,数据挖掘,0
多元分类,机器学习,1
随机森林,条件概率,1
虚无假说,型一错误与型二错误,0
最大期望算法,最大似然估计,1
人工神经网络,统计分类,1
机率密度函数,随机森林,0
AdaBoost,集成学习,1
朴素贝叶斯分类器,机率密度函数,1
贝叶斯定理,条件概率分布,1
提升方法,机率密度函数,1
条件概率,随机森林,0
测量尺度,中位数,1
朴素贝叶斯分类器,信息检索,0
条件概率分布,似然函数,0
混合模型,众数 (数学),0
提升方法,联合分布,1
总体,假说检定,0
人工神经网络,专家系统,0
条件概率分布,贝叶斯定理,0
前馈神经网络,联合分布,1
总体,显著性差异,0
提升方法,决策树,0
支持向量机,交叉验证,0
贝氏网路,后验概率,1
多元分类,联合分布,1
聚类分析,相关,1
统计分类,决策树剪枝,0
决策树学习,机器学习,1
贝叶斯定理,后验概率,0
联合分布,机器学习,0
算术平均数,朴素贝叶斯分类器,0
聚类分析,统计分类,0
随机森林,决策树,1
