A,B,Label
磁场,惯性参考系,0
重力加速度,位置向量,1
能量,行星,0
机械能,引力场,0
物理学,电势能,0
牛顿运动定律,运动 (物理学),0
速率,长度,0
能量,强度 (物理),0
斯涅尔定律,折射率,1
胡克定律,功,0
加速度,位移,1
物理学,碰撞,0
电子,机械能,0
质量,波,0
势能,引力,0
折射率,电场,0
硬度,弹性 (物理学),1
光电效应,碰撞,0
折射率,反射 (物理学),0
激波,波,1
平抛运动,引力,1
衍射,场 (物理),0
强度 (物理),能量,1
导体,电磁波谱,0
磁场,速度,0
波峰,多普勒效应,0
波,反射 (物理学),0
能量,碰撞,0
磁场,相对速度,0
斯涅尔定律,速率,1
电势,焦耳,0
温度,物理学,0
能级,温度,0
速度,多普勒效应,0
正向力,速度,0
电磁辐射,速度,0
磁,电流,0
电势,磁场,0
万有引力定律,物理学,1
位置向量,加速度,0
折射率,波,1
物理学,斯涅尔定律,0
能量,焦耳,0
电动势,电压,1
衍射,散射,0
电容,库仑,0
介电质,电压,0
折射率,折射,1
磁,场线,0
能级,能量,1
距离,光学显微镜,0
弹性碰撞,动能,1
静电学,电流,0
位移,质量,0
平抛运动,速率,1
电子,验电器,0
验电器,静电学,0
强度 (物理),光,0
电子,频率,0
温度,吸收光谱学,0
牛顿运动定律,碰撞,0
镜像 (几何),反射 (物理学),1
激光器,吸收光谱学,0
功,势能,0
电压,电动势,0
吸收光谱学,波长,1
位置向量,力,0
加速度,功,0
反射 (物理学),全内反射,0
功率,能量,1
吸收光谱学,行星,0
折射率,激光器,0
引力,多普勒效应,0
振幅,多普勒效应,0
波,张力,0
强度 (物理),速度,0
地球引力,力矩,0
加速度,电势,0
功,位置向量,1
磁场,镜像 (几何),0
电磁波谱,波长,1
发射光谱,频率,1
势能,功率,0
光的反射定律,波,1
能量,功率,0
勒萨吉重力理论,碰撞,0
光的反射定律,向量,0
电子,吸收光谱学,0
全内反射,光,1
塑性变形,硬度,0
物理学,重力加速度,0
速率,磁场,0
能级,物理学,1
磁场,磁铁,1
弹性 (物理学),波,0
相速度,色散 (光学),0
物理学,波长,0
断裂,材料力学,0
衍射,波,1
自由落体,位移,1
力,音强,0
波长,色散 (光学),0
温度,电阻,0
磁场,吸收光谱学,0
场 (物理),行星,0
勒萨吉重力理论,速率,1
非弹性碰撞,物理学,1
能量,音强,0
能级,波长,0
电磁辐射,磁铁,1
向量,静电学,0
摩擦力,胡克定律,0
勒萨吉重力理论,弹性碰撞,0
赫兹,速度,0
多普勒效应,速率,1
万有引力定律,万有引力常数,0
波,横波,0
折射率,速率,1
激光器,多普勒效应,0
磁场,电流,1
万有引力定律,引力场,0
势能,力矩,0
重力加速度,力,1
自由落体,物理学,1
光电效应,动能,0
位置向量,运动 (物理学),0
能量,电动势,0
色散 (光学),光,1
牛顿运动定律,地球引力,0
光,波长,0
力,塑性变形,0
万有引力定律,千克,0
多普勒效应,物理学,1
全内反射,激光器,0
导体,米 (单位),0
望远镜,反射 (物理学),0
能量,赫兹,0
波长,干涉 (物理学),0
磁铁,电场,0
功,焦耳,0
光电效应,赫兹,0
惯性参考系,碰撞,0
速率,斯涅尔定律,0
电动势,物理学,1
望远镜放大倍数,折射望远镜,0
力,平抛运动,0
力,硬度,0
斯涅尔定律,速度,0
速度,弹性碰撞,0
功率,千克,0
磁场,能量,0
焦耳,机械能,0
速率,运动 (物理学),1
质量,电子,0
力,势能,0
虚像 (光学),射线,1
电场,质量,0
折射率,温度,0
场线,磁场,0
牛顿运动定律,功,0
运动方程,运动 (物理学),1
静电学,场线,0
衍射,惠更斯－菲涅耳原理,0
力,弹性 (物理学),0
能量,势能,0
电场,库仑,0
电场,电流,0
波,全内反射,0
频率,能量,0
杠杆,长度,0
物理学,传输介质,0
强度 (物理),激光器,0
磁,长度,0
光,折射望远镜,0
物理学,激波,0
光电效应,电磁辐射,0
介电质,赫兹,0
磁场,电压,0
张力,质量,0
干涉 (物理学),电子,0
向量,力,0
接触力,力,1
驻波,频率,1
磁场,介电质,0
干涉 (物理学),惠更斯－菲涅耳原理,0
振幅,折射率,0
光的反射定律,折射率,0
速率,电子,0
重力加速度,行星,0
距离,自由落体,0
加速度,速度,1
速度,米 (单位),0
电容,电压,1
折射率,质量,0
静电学,导体,0
声爆,物理学,1
参考系,电磁波谱,0
电容器,激光器,0
欧姆,库仑,0
电场,物理学,1
磁场,力矩,0
物理学,位移,0
强度 (物理),波,0
波,能量,0
电容器,介电质,0
几何光学,斯涅尔定律,0
波,多普勒效应,0
欧姆定律,电压,1
功率,强度 (物理),0
勒萨吉重力理论,能量,0
电容,电流,0
胡克定律,刚度,0
电磁波谱,电场,1
物理学,发射光谱,0
全内反射,物理学,1
斯涅尔定律,运动 (物理学),1
运动 (物理学),能量,0
能量,声爆,0
磁场,地球引力,0
电子,电磁辐射,0
加速度,力矩,0
物理学,电场,0
衍射,干涉 (物理学),0
力,刚度,0
距离,地球引力,0
电势,力,1
电荷,电容,0
摩擦力,质量,0
弹性碰撞,物理学,1
自由落体,引力场,0
能量,激光器,0
电场,波长,0
弹性 (物理学),硬度,0
力,弹性碰撞,0
折射,吸收光谱学,0
折射,电磁波谱,0
电势能,场 (物理),1
牛顿运动定律,接触力,0
库仑定律,介电质,0
平抛运动,速度,1
电子,距离,0
勒萨吉重力理论,波长,0
碰撞,勒萨吉重力理论,0
地球引力,力,1
磁场,势能,0
强度 (物理),物理学,1
电场,力,0
物理学,波,0
折射率,斯涅尔定律,0
振幅,惠更斯－菲涅耳原理,0
运动 (物理学),静电学,0
加速度,场 (物理),0
散射,速度,0
电子,光的反射定律,0
驻波,电压,0
多普勒效应,波长,1
衍射,色散 (光学),0
非弹性碰撞,弹性碰撞,0
磁,库仑,0
重力加速度,引力,1
折射率,望远镜,0
能量,机械能,0
弹性碰撞,能量,1
波,强度 (物理),0
质量,距离,0
运动方程,场 (物理),0
位移,功,0
动能,机械能,0
引力场,万有引力定律,1
速度,波,0
镜像 (几何),距离,0
引力,重力加速度,0
势能,向量,1
波,弹性 (物理学),0
音高,赫兹,0
速率,激波,0
多普勒效应,频率,1
速率,电磁波谱,0
电子,静电学,0
电势,库仑定律,1
向量,重力加速度,0
频率,多普勒效应,0
断裂,弹性 (物理学),0
温度,千克,0
距离,弹性碰撞,0
重力加速度,运动 (物理学),1
物理学,多普勒效应,0
势能,米 (单位),0
位移,距离,1
位移,平抛运动,0
电势,电容,0
运动 (物理学),牛顿运动定律,0
色素,波长,0
波,物理学,1
温度,波长,0
干涉 (物理学),波峰,0
波,电磁波谱,0
导体,电流,1
运动 (物理学),弹性碰撞,0
惯性参考系,速度,0
功,静电学,0
力,磁铁,0
力,力矩,0
吸收光谱学,能量,1
运动 (物理学),惯性参考系,0
电容,距离,0
库仑定律,发射光谱,0
位置向量,自由落体,0
激波,能量,1
电阻,能量,0
运动 (物理学),质量,0
磁铁,向量,0
电压,电流,0
斯涅尔定律,光,1
磁,物理学,1
力,蠕变,0
介电质,速度,0
速度,速率,0
能量,温度,0
向量,地球引力,0
导体,验电器,0
电阻,欧姆,0
振幅,电压,0
能量,介电质,0
波,质量,0
能量,运动方程,0
物理学,接触力,0
能量,横波,0
磁铁,质量,0
速率,地球引力,0
能量,静电学,0
重力加速度,物理学,1
引力,物理学,1
镜像 (几何),长度,0
衍射,光的反射定律,0
平抛运动,运动 (物理学),1
势能,功,1
运动 (物理学),温度,0
光电效应,颜色,0
强度 (物理),速率,0
电势能,库仑,0
光的反射定律,折射,0
折射率,频率,0
杠杆,能量,0
电磁辐射,激光器,0
发射光谱,磁铁,1
斯涅尔定律,望远镜,0
速度,运动方程,0
电子,导体,0
干涉 (物理学),射线,0
能量,能级,0
折射,长度,0
焦耳,库仑,0
介电质,库仑定律,1
磁,力,1
声爆,波,1
波,频率,0
蠕变,力,1
望远镜,光学显微镜,0
刚度,胡克定律,0
欧姆,电动势,0
动能,物理学,1
静电学,电场,1
物理学,电磁波谱,0
电子,势能,0
力矩,速率,0
散射,波长,1
电势,运动 (物理学),1
静电学,运动 (物理学),1
发射光谱,磁场,1
力,发射光谱,0
胡克定律,质量,0
声爆,赫兹,0
光电效应,光,1
位移,自由落体,0
电子,勒萨吉重力理论,0
力,静电学,0
弹性 (物理学),能量,0
能量,发射光谱,0
弹性碰撞,距离,1
力矩,杠杆,1
振幅,距离,0
频率,干涉 (物理学),0
张力,物理学,1
颜色,色散 (光学),0
物理学,万有引力定律,0
衍射,波长,0
万有引力常数,万有引力定律,1
运动 (物理学),地球引力,0
